search_term,ad_id,page_name,page_id,status,platforms,display_format,ad_title,ad_copy_preview,caption,cta_text,link_url,start_date,stop_date,total_active_days,impressions,spend_lower,spend_upper,currency,page_likes,collation_count,categories,targeted_countries,page_profile_url,collected_at
Uniqlo,870265909380047,Uniqlo Indonesia,302580029860149,ACTIVE,"FACEBOOK, INSTAGRAM",DCO,{{product.name}},"Ringan, nyaman, dan melindungi sepanjang hari! | Ringan, nyaman, dan melindungi sepanjang hari!",uniqlo.com,Learn more,https://www.uniqlo.com/id/en/news/topics/2025122202/,2026-03-31,2026-04-02,2,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,2.0,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
Uniqlo,1476430043868337,Uniqlo Indonesia,302580029860149,ACTIVE,"FACEBOOK, INSTAGRAM",DCO,{{product.name}},"Koleksi terbaru terinspirasi dari Roger Federer, menghadirkan sportwear yang versatile untuk keseharian.​

Dirancang untuk mendukung pergerakan bebas dengan kenyamanan maksimal, setiap item memadukan ",uniqlo.com,Learn more,https://www.uniqlo.com/id/id/special-feature/ambassador/roger-federer-collection,2026-03-31,2026-04-02,2,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,3.0,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
Uniqlo,1441304004132471,Uniqlo Indonesia,302580029860149,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",CAROUSEL,UNIQLO Indonesia,  |  ,play.google.com,Shop now,http://play.google.com/store/apps/details?id=com.uniqlo.id.catalogue,2026-03-21,2026-04-01,11,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,2.0,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
Uniqlo,1465365681977785,Uniqlo Indonesia,302580029860149,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",CAROUSEL,UNIQLO Indonesia,  |  ,play.google.com,Install now,http://play.google.com/store/apps/details?id=com.uniqlo.id.catalogue,2026-03-20,2026-04-01,12,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,1.0,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
Uniqlo,1267948248859236,Uniqlo Indonesia,302580029860149,ACTIVE,INSTAGRAM,DPA,N/A,"Belanja koleksi Shirt dan Workwear di UNIQLO Web and App.

#UniqloIndonesia #UniqloLifeWear | Belanja koleksi Shirt dan Workwear di UNIQLO Web and App.

#UniqloIndonesia #UniqloLifeWear",uniqlo.com,Shop now,https://www.uniqlo.com/id/id/men/shirts-and-polo-shirts/formal-shirts,2026-03-19,2026-04-02,14,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
Uniqlo,922276403860261,Uniqlo Indonesia,302580029860149,ACTIVE,INSTAGRAM,DPA,N/A,"Belanja koleksi Modest Wear di UNIQLO App.

#UniqloIndonesia #UniqloLifeWear | Belanja koleksi Modest Wear di UNIQLO App.

#UniqloIndonesia #UniqloLifeWear",uniqlo.com,Shop now,https://www.uniqlo.com/id/id/women/modest-wear,2026-03-10,2026-04-02,23,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
Uniqlo,951012860690038,Uniqlo Indonesia,302580029860149,ACTIVE,INSTAGRAM,DPA,N/A,"Belanja koleksi Linen di UNIQLO App.

#UniqloIndonesia #UniqloLifeWear | Belanja koleksi Linen di UNIQLO App.

#UniqloIndonesia #UniqloLifeWear",uniqlo.com,Shop now,https://www.uniqlo.com/id/id/women/linen,2026-02-24,2026-04-02,36,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
Uniqlo,702600466181144,Uniqlo Indonesia,302580029860149,ACTIVE,INSTAGRAM,DPA,N/A,"Dapatkan koleksinya di UNIQLO Web or App!   

#UniqloIndonesia #UniqloLifeWear | Dapatkan koleksinya di UNIQLO Web or App!   

#UniqloIndonesia #UniqloLifeWear",uniqlo.com,Shop now,https://www.uniqlo.com/id/id/men/sport-utility-wear,2026-02-24,2026-04-02,36,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
Uniqlo,1476962917125311,Uniqlo Indonesia,302580029860149,ACTIVE,INSTAGRAM,DPA,N/A,"Celana UNIQLO nyaman & rapi untuk aktivitas harian.
Bahan berkualitas, fit pas, dan mudah dipadukan.
Beli sekarang di UNIQLO Web and App.

#UniqloIndonesia #UniqloLifeWear | Celana UNIQLO nyaman & rap",uniqlo.com,Shop now,https://www.uniqlo.com/id/id/women/bottoms/wide-pants,2026-02-20,2026-04-02,40,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
Uniqlo,913575167697544,Uniqlo Indonesia,302580029860149,ACTIVE,INSTAGRAM,DPA,N/A,"Dapatkan koleksi terbaru UNIQLO. Belanja sekarang di UNIQLO App.

#UniqloIndonesia #UniqloLifeWear | Dapatkan koleksi terbaru UNIQLO. Belanja sekarang di UNIQLO App.

#UniqloIndonesia #UniqloLifeWear",uniqlo.com,Shop now,https://www.uniqlo.com/id/id/feature/new/women,2026-02-20,2026-04-02,40,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
